point_id;global_x;global_y;global_z;E_L1_R;E_L1_G;E_L1_B;E_L2_R;E_L2_G;E_L2_B;E_total_R;E_total_G;E_total_B
P01;0.000000;0.000000;0.000000;62.500000;62.500000;62.500000;0.000000;0.000000;0.000000;62.500000;62.500000;62.500000
P02;0.478913;0.143674;0.000000;60.591716;60.591716;60.591716;0.000000;0.000000;0.000000;60.591716;60.591716;60.591716
P03;0.957826;0.287348;0.000000;55.363322;55.363322;55.363322;0.000000;0.000000;0.000000;55.363322;55.363322;55.363322
P04;1.436739;0.431022;0.000000;48.039032;48.039032;48.039032;0.000000;0.000000;0.000000;48.039032;48.039032;48.039032
P05;1.915653;0.574696;0.000000;40.000000;40.000000;40.000000;0.000000;0.000000;0.000000;40.000000;40.000000;40.000000
P06;0.111223;0.384226;0.000000;61.268503;61.268503;61.268503;0.000000;0.000000;0.000000;61.268503;61.268503;61.268503
P07;0.590136;0.527900;0.000000;57.875583;57.875583;57.875583;0.000000;0.000000;0.000000;57.875583;57.875583;57.875583
P08;1.069050;0.671574;0.000000;51.688846;51.688846;51.688846;0.000000;0.000000;0.000000;51.688846;51.688846;51.688846
P09;1.547963;0.815248;0.000000;44.038951;44.038951;44.038951;0.000000;0.000000;0.000000;44.038951;44.038951;44.038951
P10;2.026876;0.958921;0.000000;36.185463;36.185463;36.185463;0.000000;0.000000;0.000000;36.185463;36.185463;36.185463
P11;0.222446;0.768451;0.000000;57.784763;57.784763;57.784763;0.000000;0.000000;0.000000;57.784763;57.784763;57.784763
P12;0.701360;0.912125;0.000000;53.312586;53.312586;53.312586;0.000000;0.000000;0.000000;53.312586;53.312586;53.312586
P13;1.180273;1.055799;0.000000;46.710278;46.710278;46.710278;0.000000;0.000000;0.000000;46.710278;46.710278;46.710278
P14;1.659186;1.199473;0.000000;39.244343;39.244343;39.244343;0.000000;0.000000;0.000000;39.244343;39.244343;39.244343
P15;2.138099;1.343147;0.000000;31.957590;31.957590;31.957590;0.000000;0.000000;0.000000;31.957590;31.957590;31.957590
P16;0.333670;1.152677;0.000000;52.605000;52.605000;52.605000;0.000000;0.000000;0.000000;52.605000;52.605000;52.605000
P17;0.812583;1.296351;0.000000;47.564467;47.564467;47.564467;0.000000;0.000000;0.000000;47.564467;47.564467;47.564467
P18;1.291496;1.440025;0.000000;41.053841;41.053841;41.053841;0.000000;0.000000;0.000000;41.053841;41.053841;41.053841
P19;1.770409;1.583699;0.000000;34.159154;34.159154;34.159154;0.000000;0.000000;0.000000;34.159154;34.159154;34.159154
P20;2.249322;1.727373;0.000000;27.677891;27.677891;27.677891;0.000000;0.000000;0.000000;27.677891;27.677891;27.677891
P21;0.444893;1.536903;0.000000;46.447681;46.447681;46.447681;0.000000;0.000000;0.000000;46.447681;46.447681;46.447681
P22;0.923806;1.680577;0.000000;41.320812;41.320812;41.320812;0.000000;0.000000;0.000000;41.320812;41.320812;41.320812
P23;1.402719;1.824251;0.000000;35.281238;35.281238;35.281238;0.000000;0.000000;0.000000;35.281238;35.281238;35.281238
P24;1.881632;1.967925;0.000000;29.187434;29.187434;29.187434;0.000000;0.000000;0.000000;29.187434;29.187434;29.187434
P25;2.360545;2.111599;0.000000;23.612256;23.612256;23.612256;0.000000;0.000000;0.000000;23.612256;23.612256;23.612256
