point_id;local_x;local_y;global_x;global_y;global_z
P01;0.000000;0.000000;0.000000;0.000000;0.000000
P02;0.500000;0.000000;0.478913;0.143674;0.000000
P03;1.000000;0.000000;0.957826;0.287348;0.000000
P04;1.500000;0.000000;1.436739;0.431022;0.000000
P05;2.000000;0.000000;1.915653;0.574696;0.000000
P06;0.000000;0.400000;0.111223;0.384226;0.000000
P07;0.500000;0.400000;0.590136;0.527900;0.000000
P08;1.000000;0.400000;1.069050;0.671574;0.000000
P09;1.500000;0.400000;1.547963;0.815248;0.000000
P10;2.000000;0.400000;2.026876;0.958921;0.000000
P11;0.000000;0.800000;0.222446;0.768451;0.000000
P12;0.500000;0.800000;0.701360;0.912125;0.000000
P13;1.000000;0.800000;1.180273;1.055799;0.000000
P14;1.500000;0.800000;1.659186;1.199473;0.000000
P15;2.000000;0.800000;2.138099;1.343147;0.000000
P16;0.000000;1.200000;0.333670;1.152677;0.000000
P17;0.500000;1.200000;0.812583;1.296351;0.000000
P18;1.000000;1.200000;1.291496;1.440025;0.000000
P19;1.500000;1.200000;1.770409;1.583699;0.000000
P20;2.000000;1.200000;2.249322;1.727373;0.000000
P21;0.000000;1.600000;0.444893;1.536903;0.000000
P22;0.500000;1.600000;0.923806;1.680577;0.000000
P23;1.000000;1.600000;1.402719;1.824251;0.000000
P24;1.500000;1.600000;1.881632;1.967925;0.000000
P25;2.000000;1.600000;2.360545;2.111599;0.000000
